turnings:	1583						
{	10122	2017	10122	20162017	20172018	20	}
{	10123	2018	10123	20172018	20182019	20	}
{	10124	2019	10124	20182019	20192020	20	}
{	10125	2020	10125	20192020	20202021	20	}
{	10126	2021	10126	20202021	20212022	20	}
{	10127	2022	10127	20212022	20222023	20	}
{	10128	2023	10128	20222023	20232024	20	}
{	10129	2024	10129	20232024	20242025	20	}
{	10130	2025	10130	20242025	20252026	20	}
{	10131	2026	10131	20252026	20262027	20	}
{	10132	2027	10132	20262027	20272028	20	}
{	10133	2028	10133	20272028	20282029	20	}
{	10134	2029	10134	20282029	20292030	20	}
{	10135	2030	10135	20292030	20302031	20	}
{	10136	2031	10136	20302031	20312032	20	}
{	10137	2032	10137	20312032	20322033	20	}
{	10138	2033	10138	20322033	20332034	20	}
{	10139	2034	10139	20332034	20342035	20	}
{	10140	2034	10140	20362034	20342033	20	}
{	10141	2033	10141	20342033	20332032	20	}
{	10142	2032	10142	20332032	20322031	20	}
{	10143	2031	10143	20322031	20312030	20	}
{	10144	2030	10144	20312030	20302029	20	}
{	10145	2029	10145	20302029	20292028	20	}
{	10146	2028	10146	20292028	20282027	20	}
{	10147	2027	10147	20282027	20272026	20	}
{	10148	2026	10148	20272026	20262025	20	}
{	10149	2025	10149	20262025	20252024	20	}
{	10150	2024	10150	20252024	20242023	20	}
{	10151	2023	10151	20242023	20232022	20	}
{	10152	2022	10152	20232022	20222037	20	}
{	10153	2037	10153	20222037	20372020	20	}
{	10154	2020	10154	20372020	20202019	20	}
{	10155	2019	10155	20202019	20192018	20	}
{	10156	2018	10156	20192018	20182017	20	}
{	10157	2017	10157	20182017	20172016	20	}
{	10158	2016	10158	20172016	20162015	20	}
{	10159	2015	10159	20162015	20152014	20	}
{	10160	2014	10160	20152014	20142013	20	}
{	10161	2013	10161	20142013	20132012	20	}
{	10162	2012	10162	20132012	20122011	20	}
{	10163	2011	10163	20122011	20112010	20	}
{	10164	2010	10164	20112010	20102009	20	}
{	10165	2009	10165	20102009	20092008	20	}
{	10166	2008	10166	20092008	20082007	20	}
{	10167	2007	10167	20082007	20072006	20	}
{	10168	2006	10168	20072006	20062005	20	}
{	10169	2005	10169	20062005	20052004	20	}
{	10170	2004	10170	20052004	20042003	20	}
{	10171	2003	10171	20042003	20032002	20	}
{	10172	2002	10172	20032002	20022001	20	}
{	10173	2001	10173	20022001	20012038	20	}
{	10174	2025	10174	20242025	20254200	20	}
{	10175	4200	10175	20254200	42004201	20	}
{	10176	4200	10176	42024200	42002025	20	}
{	10177	2025	10177	42002025	20252024	20	}
{	10178	3001	10178	30003001	30013002	20	}
{	10179	3002	10179	30013002	30023003	20	}
{	10180	3003	10180	30023003	30033004	20	}
{	10181	3004	10181	30033004	30043005	20	}
{	10182	3005	10182	30043005	30053006	20	}
{	10183	3006	10183	30053006	30063007	20	}
{	10184	3007	10184	30063007	30073008	20	}
{	10185	3008	10185	30073008	30083009	20	}
{	10186	3009	10186	30083009	30093010	20	}
{	10187	3010	10187	30093010	30103011	20	}
{	10188	3011	10188	30103011	30113012	20	}
{	10189	3012	10189	30113012	30123013	20	}
{	10190	3013	10190	30123013	30133014	20	}
{	10191	3014	10191	30133014	30143015	20	}
{	10192	3015	10192	30143015	30153016	20	}
{	10193	3016	10193	30153016	30162015	20	}
{	10194	2015	10194	30162015	20152016	20	}
{	10195	2020	10195	20192020	20203017	20	}
{	10196	3017	10196	20203017	30172022	20	}
{	10197	2022	10197	30172022	20222023	20	}
{	10198	2023	10198	20222023	20233018	20	}
{	10199	3018	10199	20233018	30183019	20	}
{	10200	3019	10200	30183019	30193020	20	}
{	10201	3020	10201	30193020	30203021	20	}
{	10202	3021	10202	30203021	30213022	20	}
{	10203	3022	10203	30213022	30223023	20	}
{	10204	3023	10204	30223023	30233024	20	}
{	10205	3024	10205	30233024	30243025	20	}
{	10206	3025	10206	30243025	30253026	20	}
{	10207	3026	10207	30253026	30263027	20	}
{	10208	3027	10208	30263027	30273028	20	}
{	10209	3028	10209	30273028	30283029	20	}
{	10210	3029	10210	30283029	30293030	20	}
{	10211	3030	10211	30293030	30303031	20	}
