servers:	1634								
{	10140	0	0.000	0.000	0	}			
{	10141	4	1.412	10.318	39	}			
{	10142	3	112.226	68.656	76	}			
{	10143	4	1.391	27.347	48	}			
{	10144	4	1.436	12.093	42	}			
{	10145	3	41.536	25.274	34	}			
{	10146	3	61.732	37.576	52	}			
{	10147	3	33.698	20.505	26	}			
{	10148	4	1.376	28.311	44	}			
{	10149	4	1.353	9.544	32	}			
{	10150	4	1.408	14.688	50	}			
{	10151	4	1.378	16.744	44	}			
{	10152	3	73.938	45.023	55	}			
{	10153	4	1.010	18.355	12	}			
{	10154	4	1.016	15.796	12	}			
{	10155	4	1.503	15.796	67	}			
{	10156	4	1.336	12.471	27	}			
{	10157	4	1.357	13.666	30	}			
{	10158	3	55.834	33.962	46	}			
{	10159	4	1.251	13.495	25	}			
{	10160	4	1.351	13.012	37	}			
{	10161	4	1.419	20.519	50	}			
{	10162	4	1.409	21.750	52	}			
{	10163	3	32.430	19.731	27	}			
{	10164	4	1.285	24.272	32	}			
{	10165	4	1.251	26.129	28	}			
{	10166	3	32.117	19.542	26	}			
{	10167	3	24.230	14.785	17	}			
{	10168	4	1.368	24.109	43	}			
{	10169	4	1.458	32.004	65	}			
{	10170	4	1.270	23.222	31	}			
{	10171	4	1.240	16.638	27	}			
{	10172	4	1.322	19.945	37	}			
{	10173	4	1.346	16.604	37	}			
{	10174	3	45.335	27.633	36	}			
{	10175	3	112.388	68.589	94	}			
{	10176	0	0.000	0.000	0	}			
{	10177	4	1.439	3.726	1	}			
{	10178	0	0.000	0.000	0	}			
{	10179	4	1.433	13.660	33	}			
{	10180	3	91.949	55.911	79	}			
{	10181	4	1.323	27.557	37	}			
{	10182	3	36.424	22.173	28	}			
{	10183	4	1.334	19.050	37	}			
{	10184	3	61.339	37.341	48	}			
{	10185	3	50.418	30.665	42	}			
{	10186	3	46.852	28.479	39	}			
{	10187	4	1.318	27.594	37	}			
{	10188	4	1.497	12.927	62	}			
{	10189	2	0.000	0.000	52	}			
{	10190	4	1.377	18.721	42	}			
{	10191	3	55.136	33.539	46	}			
{	10192	4	1.479	16.848	62	}			
{	10193	3	58.578	35.651	49	}			
{	10194	4	1.532	17.733	84	}			
{	10195	4	1.475	19.245	57	}			
{	10196	4	0.969	18.957	10	}			
{	10197	4	0.980	17.497	10	}			
{	10198	4	1.443	17.524	51	}			
{	10199	4	1.199	21.517	22	}			
{	10200	4	1.525	15.931	81	}			
{	10201	3	112.978	68.578	104	}			
{	10202	4	1.487	34.081	75	}			
{	10203	4	1.472	18.316	67	}			
{	10204	4	1.402	29.926	52	}			
{	10205	4	1.734	41.964	265	}			
{	10206	4	1.431	21.419	56	}			
{	10207	3	53.904	32.780	46	}			
{	10208	4	1.452	31.403	64	}			
{	10209	4	1.391	26.971	49	}			
{	10210	3	92.310	56.055	83	}			
{	10211	4	1.455	35.229	66	}			
{	10212	4	1.510	43.884	83	}			
{	10213	3	52.846	32.079	48	}			
{	10214	4	1.395	38.793	52	}			
{	10215	4	1.489	43.044	77	}			
{	10216	4	1.402	34.216	51	}			
{	10217	4	1.319	30.860	38	}			
{	10218	4	1.524	22.158	87	}			
{	10219	0	0.000	0.000	0	}			
{	10220	4	1.536	24.710	90	}			
{	10221	3	44.979	27.327	40	}			
{	10222	3	58.234	35.348	53	}			
{	10223	4	1.486	54.918	78	}			
{	10224	4	1.400	34.118	53	}			
{	10225	3	53.781	32.647	48	}			
{	10226	3	93.409	56.703	85	}			
{	10227	4	1.450	45.087	66	}			
{	10228	4	1.478	34.170	74	}			
{	10229	4	1.378	32.362	48	}			
{	10230	3	70.712	42.927	64	}			
{	10231	3	59.097	35.926	50	}			
{	10232	4	1.420	39.724	56	}			
{	10233	4	1.737	37.451	267	}			
{	10234	4	1.407	23.503	51	}			
{	10235	4	1.481	35.995	74	}			
{	10236	3	85.635	51.987	77	}			
{	10237	4	1.561	32.066	105	}			
{	10238	3	88.628	53.866	75	}			
{	10239	4	1.254	19.278	27	}			
{	10240	3	73.938	45.023	55	}			
{	10241	4	1.010	18.355	12	}			
{	10242	4	1.016	15.796	12	}			
{	10243	4	1.251	13.495	25	}			
{	10244	4	1.500	14.747	68	}			
{	10245	3	52.664	32.128	39	}			
{	10246	4	1.478	13.559	57	}			
{	10247	4	1.409	24.763	52	}			
{	10248	4	1.385	22.419	45	}			
{	10249	4	1.347	10.841	34	}			
{	10250	3	82.393	50.396	61	}			
{	10251	3	47.512	28.881	40	}			
{	10252	3	35.878	21.817	29	}			
{	10253	3	56.845	34.568	47	}			
{	10254	3	54.101	32.942	43	}			
{	10255	3	40.675	24.769	34	}			
{	10256	3	30.113	18.308	26	}			
{	10257	4	1.407	17.383	48	}			
{	10258	4	1.413	24.225	53	}			
{	10259	4	1.411	11.523	51	}			
{	10260	0	0.000	0.000	0	}			
{	10261	4	0.969	18.957	10	}			
{	10262	0	0.000	0.000	0	}			
{	10263	3	56.845	34.568	47	}			
{	10264	0	0.000	0.000	0	}			
{	10265	4	1.551	23.116	92	}			
{	10266	4	1.422	28.257	54	}			
{	10267	4	1.286	25.079	31	}			
{	10268	3	39.990	24.304	33	}			
{	10269	3	66.733	40.565	57	}			
{	10270	4	1.497	21.002	69	}			
{	10271	4	1.518	25.840	83	}			
{	10272	3	58.016	35.297	46	}			
