passenger_rates:	62770										
format:	3										
{	10011002	10021001	0.366270395	}							
{	10011002	10021003	0.403751772	}							
{	10011002	10041003	0.189991468	}							
{	10011002	10041005	0.315374019	}							
{	10011002	10051004	0.487032414	}							
{	10011002	10051006	0.245993011	}							
{	10011002	10061005	0.462602745	}							
{	10011002	10061007	0.592211476	}							
{	10011002	10071006	0.123719203	}							
{	10011002	10071008	0.469037113	}							
{	10011002	10081007	0.491898757	}							
{	10011002	10081009	0.513478026	}							
{	10011002	10091008	0.354231866	}							
{	10011002	10091010	0.287187626	}							
{	10011002	10101009	1.14491613	}							
{	10011002	10101011	0.383626244	}							
{	10011002	10111012	0.309534525	}							
{	10011002	10121011	0.72964405	}							
{	10011002	10121013	0.281383189	}							
{	10011002	10131012	0.246134649	}							
{	10011002	10131014	0.376572055	}							
{	10011002	10141013	0.2918035	}							
{	10011002	10141015	0.476908772	}							
{	10011002	10151014	0.458334665	}							
{	10011002	10151016	0.620154991	}							
{	10011002	10171016	0.413793406	}							
{	10011002	10171018	0.653482305	}							
{	10011002	10201019	0.795234584	}							
{	10011002	10201021	0.239327212	}							
{	10011002	10221020	1.21524284	}							
{	10011002	10241025	0.389806916	}							
{	10011002	10271026	0.722221712	}							
{	10011002	10271028	0.946264379	}							
{	10011002	10291030	0.104116167	}							
{	10011002	10301029	0.588360077	}							
{	10011002	10301031	0.198697002	}							
{	10011002	10311030	0.390261102	}							
{	10011002	10311032	0.495726061	}							
{	10011002	10321031	0.328103679	}							
{	10011002	10321033	0.337686574	}							
{	10011002	10331032	0.326292031	}							
{	10011002	10331034	0.189522335	}							
{	10011002	10351034	0.626088403	}							
{	10011002	10351036	0.409516149	}							
{	10011002	10361035	0.487088874	}							
{	10011002	10361037	0.359821158	}							
{	10011002	10371036	0.274086886	}							
{	10011002	10371038	0.155710207	}							
{	10011002	10381039	0.378867275	}							
{	10011002	10391038	0.576575343	}							
{	10011002	10391040	0.377182505	}							
{	10011002	10401039	0.414727678	}							
{	10011002	10401041	0.440162795	}							
{	10011002	10411040	0.530496425	}							
{	10011002	10411042	0.414765406	}							
{	10011002	10431042	0.333467574	}							
{	10011002	10431044	1.16999638	}							
{	10011002	10451044	0.330681385	}							
{	10011002	10451046	0.389666517	}							
{	10011002	10461045	0.261810271	}							
{	10011002	10461047	0.409149447	}							
{	10011002	10471046	0.707045423	}							
{	10011002	10471048	0.738321753	}							
{	10011002	10481047	0.562900325	}							
