TSP 0 1118001 LEDN LEDN 24180 24300 120 8
TMV 1 1118001 LEDN VKBR 24300 24360 60 2
TSP 2 1118001 VKBR VKBR 24360 24360 0 1
TMV 3 1118001 VKBR DVNK 24360 24420 23 1
TSP 4 1118001 DVNK DVNK 24420 24420 0 1
TMV 5 1118001 DVNK VST 24420 24480 60 1
TSP 6 1118001 VST VST 24480 24480 0 1
TMV 7 1118001 VST GVM 24480 24660 163 1
TSP 8 1118001 GVM GVM 24660 24660 0 1
TMV 9 1118001 GVM LAA 24660 24780 101 1
TSP 10 1118001 LAA LAA 24780 24782 0 1
TMV 11 1118001 LAA GVC 24782 24960 129 1
TSP 12 1118001 GVC GVC 24960 25140 180 9
Train 1218000 GVC LEDN 21600 22620 _ 180 
TMV 9 1218000 LAA GVM 21900 22020 108 1
TSP 8 1218000 GVM GVM 22020 22020 0 4
TMV 7 1218000 GVM VST 22020 22200 180 1
TSP 6 1218000 VST VST 22200 22200 0 4
TMV 5 1218000 VST DVNK 22200 22320 68 1
TSP 4 1218000 DVNK DVNK 22320 22320 0 4
TMV 3 1218000 DVNK VKBR 22320 22320 0 1
TSP 2 1218000 VKBR VKBR 22320 22320 0 4
TMV 1 1218000 VKBR LEDN 22320 22500 124 2
TSP 0 1218000 LEDN LEDN 22500 22620 120 2
Train 1120000 GD GVC 23580 24720 _ 180 
TSP 27 1120000 GD GD 23580 23640 60 4
TMV 28 1120000 GD MDAZ 23640 23820 56 2
TSP 29 1120000 MDAZ MDAZ 23820 23820 0 2
TMV 30 1120000 MDAZ ZTMO 23820 24120 300 1
TSP 31 1120000 ZTMO ZTMO 24120 24120 0 1
TMV 32 1120000 ZTMO ZTM 24120 24180 29 1
TSP 33 1120000 ZTM ZTM 24180 24180 0 1
TMV 34 1120000 ZTM YPB 24180 24360 165 1
TSP 35 1120000 YPB YPB 24360 24360 0 1
TMV 36 1120000 YPB VB 24360 24420 60 1
TSP 37 1120000 VB VB 24420 24420 0 1
TMV 40 1120000 VB GVC 24420 24720 123 1
TSP 12 1120000 GVC GVC 24720 24900 180 4
Train 1220001 GVC GD 21900 23220 _ 180 
TSP 12 1220001 GVC GVC 21900 22080 180 4
TMV 40 1220001 GVC VB 22080 22260 60 1
TSP 37 1220001 VB VB 22260 22260 0 2
TMV 36 1220001 VB YPB 22260 22320 60 1
TSP 35 1220001 YPB YPB 22320 22320 0 2
TMV 34 1220001 YPB ZTM 22320 22500 165 2
TSP 33 1220001 ZTM ZTM 22500 22500 0 2
TMV 32 1220001 ZTM ZTMO 22500 22500 0 1
TSP 31 1220001 ZTMO ZTMO 22500 22500 0 2
TMV 30 1220001 ZTMO MDAZ 22500 22860 306 2
TSP 29 1220001 MDAZ MDAZ 22860 22860 0 1
TMV 28 1220001 MDAZ GD 22860 23160 133 1
TSP 27 1220001 GD GD 23160 23220 60 1
Train 1320000 GD GVC 21780 22920 _ 180 
TMV 28 1320000 GD MDAZ 21840 22020 56 1
TSP 29 1320000 MDAZ MDAZ 22020 22020 0 2
TMV 30 1320000 MDAZ ZTMO 22020 22320 300 1
TSP 31 1320000 ZTMO ZTMO 22320 22320 0 1
TMV 32 1320000 ZTMO ZTM 22320 22380 29 1
TSP 33 1320000 ZTM ZTM 22380 22380 0 1
TMV 34 1320000 ZTM YPB 22380 22560 165 1
TSP 35 1320000 YPB YPB 22560 22560 0 1
TMV 36 1320000 YPB VB 22560 22620 60 1
TSP 37 1320000 VB VB 22620 22620 0 1
TMV 40 1320000 VB GVC 22620 22920 123 1
TSP 12 1320000 GVC GVC 22920 23100 180 4
Train 1420001 GVC GD 23700 25020 _ 180 
TSP 12 1420001 GVC GVC 23700 23880 180 4
TMV 40 1420001 GVC VB 23880 24060 60 1
TSP 37 1420001 VB VB 24060 24060 0 2
TMV 36 1420001 VB YPB 24060 24120 60 2
TSP 35 1420001 YPB YPB 24120 24120 0 2
TMV 34 1420001 YPB ZTM 24120 24300 165 2
TSP 33 1420001 ZTM ZTM 24300 24300 0 2
TMV 32 1420001 ZTM ZTMO 24300 24300 0 1
TSP 31 1420001 ZTMO ZTMO 24300 24300 0 2
TMV 30 1420001 ZTMO MDAZ 24300 24660 306 2
TSP 29 1420001 MDAZ MDAZ 24660 24662 0 1
TMV 28 1420001 MDAZ GD 24662 24960 133 1
TSP 27 1420001 GD GD 24960 25020 60 1
Train 1121000 GVC LEDN 22500 23700 _ 180 
TSP 12 1121000 GVC GVC 22500 22680 180 10
TMV 11 1121000 GVC LAA 22680 22800 114 1
TSP 10 1121000 LAA LAA 22800 22800 0 2
TMV 9 1121000 LAA GVM 22800 22920 108 2
TSP 8 1121000 GVM GVM 22920 22920 0 4
TMV 7 1121000 GVM VST 22920 23100 180 1
TSP 6 1121000 VST VST 23100 23100 0 4
